Name,Team,Reason,Potantial Return,Status,Date
Sead Kolasinac,"Arsenal
TRACK
5",Ankle/Foot Injury,22/01/2022,Ruled Out,31/12/2022
Pierre-Emerick Aubameyang,"Arsenal
TRACK
5",Suspended,No Return Date,25%,31/12/2022
Calum Chambers,"Arsenal
TRACK
5",Illness,No Return Date,Ruled Out,31/12/2022
Takehiro Tomiyasu,"Arsenal
TRACK
5",Illness,No Return Date,Ruled Out,31/12/2022
Cedric Soares,"Arsenal
TRACK
5",Illness,No Return Date,Ruled Out,31/12/2022
Marvelous Nakamba,"Aston Villa
TRACK
4",Knee Injury,02/04/2022,Ruled Out,31/12/2022
Tyrone Mings,"Aston Villa
TRACK
4",Suspended,10/01/2022,Ruled Out,31/12/2022
Ashley Young,"Aston Villa
TRACK
4",Ankle/Foot Injury,02/01/2022,50%,31/12/2022
Leon Bailey,"Aston Villa
TRACK
4",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Rico Henry,"Brentford
TRACK
11",Thigh Injury,16/01/2022,Ruled Out,31/12/2022
Dominic Thompson,"Brentford
TRACK
11",Ankle/Foot Injury,02/01/2022,50%,31/12/2022
Kristoffer Ajer,"Brentford
TRACK
11",Thigh Injury,02/01/2022,25%,31/12/2022
Bryan Mbeumo,"Brentford
TRACK
11",Calf/Shin/Heel Injury,02/01/2022,75%,31/12/2022
Christian Norgaard,"Brentford
TRACK
11",Suspended,02/01/2022,100%,31/12/2022
David Raya Martin,"Brentford
TRACK
11",Knee Injury,No Return Date,Ruled Out,31/12/2022
Mathias Jorgensen,"Brentford
TRACK
11",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Charlie Goode,"Brentford
TRACK
11",Thigh Injury,No Return Date,25%,31/12/2022
Vitaly Janelt,"Brentford
TRACK
11",Illness,No Return Date,Ruled Out,31/12/2022
Julian Jeanvier,"Brentford
TRACK
11",Knee Injury,No Return Date,Ruled Out,31/12/2022
Joshua Dasilva,"Brentford
TRACK
11",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,31/12/2022
Lewis Dunk,"Brighton and Hove Albion
TRACK
4",Knee Injury,23/01/2022,Ruled Out,31/12/2022
Leandro Trossard,"Brighton and Hove Albion
TRACK
4",Thigh Injury,02/01/2022,75%,31/12/2022
Jeremy Sarmiento,"Brighton and Hove Albion
TRACK
4",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Jurgen Locadia,"Brighton and Hove Albion
TRACK
4",Illness,No Return Date,Ruled Out,31/12/2022
Maxwel Cornet,"Burnley
TRACK
7",Thigh Injury,02/01/2022,50%,31/12/2022
Nick Pope,"Burnley
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Jay Rodriguez,"Burnley
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Josh Brownhill,"Burnley
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Kevin Long,"Burnley
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Connor Roberts,"Burnley
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Ashley Barnes,"Burnley
TRACK
7",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Andreas Christensen,"Chelsea
TRACK
6",Lower Back Injury,02/01/2022,25%,31/12/2022
Timo Werner,"Chelsea
TRACK
6",Illness,02/01/2022,25%,31/12/2022
Reece James,"Chelsea
TRACK
6",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Ruben Loftus-Cheek,"Chelsea
TRACK
6",Ankle/Foot Injury,No Return Date,25%,31/12/2022
Thiago Silva,"Chelsea
TRACK
6",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Ben Chilwell,"Chelsea
TRACK
6",Knee Injury,No Return Date,Ruled Out,31/12/2022
Wilfried Zaha,"Crystal Palace
TRACK
7",Suspended,01/01/2022,100%,31/12/2022
Joachim Andersen,"Crystal Palace
TRACK
7",Other,No Return Date,Ruled Out,31/12/2022
James McArthur,"Crystal Palace
TRACK
7",Thigh Injury,No Return Date,Ruled Out,31/12/2022
Eberechi Eze,"Crystal Palace
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Michael Olise,"Crystal Palace
TRACK
7",Illness,No Return Date,Ruled Out,31/12/2022
Nathaniel Clyne,"Crystal Palace
TRACK
7",Other,No Return Date,Ruled Out,31/12/2022
Conor Gallagher,"Crystal Palace
TRACK
7",Other,No Return Date,Ruled Out,31/12/2022
Richarlison de Andrade,"Everton
TRACK
9",Calf/Shin/Heel Injury,15/01/2022,Ruled Out,31/12/2022
Dominic Calvert-Lewin,"Everton
TRACK
9",Thigh Injury,02/01/2022,75%,31/12/2022
Lucas Digne,"Everton
TRACK
9",Illness,02/01/2022,75%,31/12/2022
Demarai Gray,"Everton
TRACK
9",Illness,02/01/2022,75%,31/12/2022
Fabian Delph,"Everton
TRACK
9",Illness,02/01/2022,75%,31/12/2022
Tom Davies,"Everton
TRACK
9",Knee Injury,02/01/2022,25%,31/12/2022
Yerry Mina,"Everton
TRACK
9",Calf/Shin/Heel Injury,No Return Date,Ruled Out,31/12/2022
Andros Townsend,"Everton
TRACK
9",Ankle/Foot Injury,No Return Date,Ruled Out,31/12/2022
Jose Salomon Rondon,"Everton
TRACK
9",Thigh Injury,No Return Date,25%,31/12/2022
