Name,Team,Reason,Potantial Return,Status,Date
Ricardo Barbosa Pereira,"Leicester City
TRACK
9",Knee Injury,No Return Date,Ruled Out,26/12/2022
Nathaniel Phillips,"Liverpool
TRACK
8",Head/Face Injury,15/01/2022,Ruled Out,26/12/2022
Andrew Robertson,"Liverpool
TRACK
8",Suspended,02/01/2022,Ruled Out,26/12/2022
Adrian San Miguel del Castillo,"Liverpool
TRACK
8",Calf/Shin/Heel Injury,No Return Date,Ruled Out,26/12/2022
Virgil van Dijk,"Liverpool
TRACK
8",Illness,No Return Date,Ruled Out,26/12/2022
Fabio Tavares,"Liverpool
TRACK
8",Illness,No Return Date,Ruled Out,26/12/2022
Harvey Elliott,"Liverpool
TRACK
8",Ankle/Foot Injury,No Return Date,Ruled Out,26/12/2022
Curtis Jones,"Liverpool
TRACK
8",Illness,No Return Date,Ruled Out,26/12/2022
Thiago Alcantara,"Liverpool
TRACK
8",Illness,No Return Date,Ruled Out,26/12/2022
Ferran Torres Garcia,"Manchester City
TRACK
4",Ankle/Foot Injury,01/01/2022,Ruled Out,26/12/2022
Liam Delap,"Manchester City
TRACK
4",Ankle/Foot Injury,No Return Date,Ruled Out,26/12/2022
Benjamin Mendy,"Manchester City
TRACK
4",Suspended,No Return Date,Ruled Out,26/12/2022
Kyle Walker,"Manchester City
TRACK
4",Illness,No Return Date,25%,26/12/2022
Paul Pogba,"Manchester United
TRACK
7",Groin/Hip/Pelvic Injury,10/01/2022,Ruled Out,26/12/2022
Anthony Martial,"Manchester United
TRACK
7",Knee Injury,27/12/2021,75%,26/12/2022
Aaron Wan-Bissaka,"Manchester United
TRACK
7",Knee Injury,27/12/2021,100%,26/12/2022
Juan Mata,"Manchester United
TRACK
7",Illness,27/12/2021,100%,26/12/2022
Victor Lindelof,"Manchester United
TRACK
7",Chest/Abdominal Injury,27/12/2021,100%,26/12/2022
Raphael Varane,"Manchester United
TRACK
7",Thigh Injury,27/12/2021,75%,26/12/2022
Edinson Cavani Gomez,"Manchester United
TRACK
7",Other,27/12/2021,75%,26/12/2022
Federico Fernandez,"Newcastle United
TRACK
7",Thigh Injury,22/01/2022,Ruled Out,26/12/2022
Jamal Lewis,"Newcastle United
TRACK
7",Thigh Injury,15/01/2022,Ruled Out,26/12/2022
Isaac Hayden,"Newcastle United
TRACK
7",Suspended,30/12/2021,Ruled Out,26/12/2022
Jonjo Shelvey,"Newcastle United
TRACK
7",Other,27/12/2021,50%,26/12/2022
Javier Manquillo,"Newcastle United
TRACK
7",Illness,27/12/2021,75%,26/12/2022
Emil Krafth,"Newcastle United
TRACK
7",Illness,27/12/2021,75%,26/12/2022
Paul Dummett,"Newcastle United
TRACK
7",Calf/Shin/Heel Injury,No Return Date,Ruled Out,26/12/2022
Grant Hanley,"Norwich City
TRACK
7",Shoulder Injury,15/01/2022,Ruled Out,26/12/2022
Christoph Zimmermann,"Norwich City
TRACK
7",Ankle/Foot Injury,15/01/2022,Ruled Out,26/12/2022
Andrew Omobamidele,"Norwich City
TRACK
7",Lower Back Injury,09/01/2022,Ruled Out,26/12/2022
Milot Rashica,"Norwich City
TRACK
7",Groin/Hip/Pelvic Injury,28/12/2021,50%,26/12/2022
Lukas Rupp,"Norwich City
TRACK
7",Illness,26/12/2021,50%,26/12/2022
Tim Krul,"Norwich City
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Mathias Normann,"Norwich City
TRACK
7",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,26/12/2022
Alex McCarthy,"Southampton
TRACK
3",Thigh Injury,08/01/2022,Ruled Out,26/12/2022
Fraser Forster,"Southampton
TRACK
3",Groin/Hip/Pelvic Injury,26/12/2021,75%,26/12/2022
Adam Armstrong,"Southampton
TRACK
3",Calf/Shin/Heel Injury,26/12/2021,75%,26/12/2022
Cristian Romero,"Tottenham Hotspur
TRACK
4",Thigh Injury,16/01/2022,Ruled Out,26/12/2022
Ryan Sessegnon,"Tottenham Hotspur
TRACK
4",Thigh Injury,09/01/2022,Ruled Out,26/12/2022
Bryan Gil,"Tottenham Hotspur
TRACK
4",Illness,26/12/2021,50%,26/12/2022
Dane Scarlett,"Tottenham Hotspur
TRACK
4",Illness,26/12/2021,50%,26/12/2022
Peter Etebo,"Watford
TRACK
6",Thigh Injury,05/03/2022,Ruled Out,26/12/2022
Ben Foster,"Watford
TRACK
6",Groin/Hip/Pelvic Injury,15/01/2022,Ruled Out,26/12/2022
Christian Kabasele,"Watford
TRACK
6",Other,01/01/2022,Ruled Out,26/12/2022
Kwadwo Baah,"Watford
TRACK
6",Ankle/Foot Injury,No Return Date,Ruled Out,26/12/2022
Ismaila Sarr,"Watford
TRACK
6",Knee Injury,No Return Date,Ruled Out,26/12/2022
Nicolas N'Koulou,"Watford
TRACK
6",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Kurt Zouma,"West Ham United
TRACK
4",Thigh Injury,22/01/2022,Ruled Out,26/12/2022
Michail Antonio,"West Ham United
TRACK
4",Illness,26/12/2021,50%,26/12/2022
Angelo Ogbonna,"West Ham United
TRACK
4",Knee Injury,No Return Date,Ruled Out,26/12/2022
Aaron Cresswell,"West Ham United
TRACK
4",Lower Back Injury,No Return Date,Ruled Out,26/12/2022
Jonny Castro Otto,"Wolverhampton Wanderers
TRACK
7",Knee Injury,No Return Date,Ruled Out,26/12/2022
Pedro Lomba Neto,"Wolverhampton Wanderers
TRACK
7",Knee Injury,No Return Date,Ruled Out,26/12/2022
Rayan Ait Nouri,"Wolverhampton Wanderers
TRACK
7",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,26/12/2022
Hee-Chan Hwang,"Wolverhampton Wanderers
TRACK
7",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Fabio Soares Silva,"Wolverhampton Wanderers
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Yerson Mosquera,"Wolverhampton Wanderers
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Willy Boly,"Wolverhampton Wanderers
TRACK
7",Other,No Return Date,25%,26/12/2022
