Name,Team,Reason,Potantial Return,Status,Date
Sead Kolasinac,"Arsenal
TRACK
5",Ankle/Foot Injury,22/01/2022,Ruled Out,29/12/2022
Pierre-Emerick Aubameyang,"Arsenal
TRACK
5",Suspended,No Return Date,25%,29/12/2022
Calum Chambers,"Arsenal
TRACK
5",Illness,No Return Date,Ruled Out,29/12/2022
Takehiro Tomiyasu,"Arsenal
TRACK
5",Illness,No Return Date,Ruled Out,29/12/2022
Cedric Soares,"Arsenal
TRACK
5",Illness,No Return Date,Ruled Out,29/12/2022
Marvelous Nakamba,"Aston Villa
TRACK
4",Knee Injury,02/04/2022,Ruled Out,29/12/2022
Tyrone Mings,"Aston Villa
TRACK
4",Suspended,10/01/2022,Ruled Out,29/12/2022
Ashley Young,"Aston Villa
TRACK
4",Other,02/01/2022,50%,29/12/2022
Leon Bailey,"Aston Villa
TRACK
4",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Kristoffer Ajer,"Brentford
TRACK
11",Thigh Injury,08/01/2022,Ruled Out,29/12/2022
Christian Norgaard,"Brentford
TRACK
11",Suspended,02/01/2022,Ruled Out,29/12/2022
Rico Henry,"Brentford
TRACK
11",Thigh Injury,29/12/2021,25%,29/12/2022
Bryan Mbeumo,"Brentford
TRACK
11",Calf/Shin/Heel Injury,29/12/2021,25%,29/12/2022
Mads Roerslev Rasmussen,"Brentford
TRACK
11",Illness,29/12/2021,50%,29/12/2022
David Raya Martin,"Brentford
TRACK
11",Knee Injury,No Return Date,Ruled Out,29/12/2022
Mathias Jorgensen,"Brentford
TRACK
11",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Charlie Goode,"Brentford
TRACK
11",Thigh Injury,No Return Date,25%,29/12/2022
Vitaly Janelt,"Brentford
TRACK
11",Illness,No Return Date,Ruled Out,29/12/2022
Julian Jeanvier,"Brentford
TRACK
11",Knee Injury,No Return Date,Ruled Out,29/12/2022
Joshua Dasilva,"Brentford
TRACK
11",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,29/12/2022
Lewis Dunk,"Brighton and Hove Albion
TRACK
7",Knee Injury,23/01/2022,Ruled Out,29/12/2022
Joel Veltman,"Brighton and Hove Albion
TRACK
7",Thigh Injury,29/12/2021,50%,29/12/2022
Leandro Trossard,"Brighton and Hove Albion
TRACK
7",Thigh Injury,29/12/2021,25%,29/12/2022
Shane Duffy,"Brighton and Hove Albion
TRACK
7",Illness,29/12/2021,50%,29/12/2022
Jeremy Sarmiento,"Brighton and Hove Albion
TRACK
7",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Jurgen Locadia,"Brighton and Hove Albion
TRACK
7",Illness,No Return Date,Ruled Out,29/12/2022
Jason Steele,"Brighton and Hove Albion
TRACK
7",Illness,No Return Date,Ruled Out,29/12/2022
Dale Stephens,"Burnley
TRACK
4",Illness,30/12/2021,75%,29/12/2022
Maxwel Cornet,"Burnley
TRACK
4",Thigh Injury,30/12/2021,50%,29/12/2022
Connor Roberts,"Burnley
TRACK
4",Illness,No Return Date,Ruled Out,29/12/2022
Ashley Barnes,"Burnley
TRACK
4",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Timo Werner,"Chelsea
TRACK
6",Illness,29/12/2021,25%,29/12/2022
Kai Havertz,"Chelsea
TRACK
6",Illness,29/12/2021,75%,29/12/2022
N'Golo Kante,"Chelsea
TRACK
6",Knee Injury,29/12/2021,50%,29/12/2022
Ben Chilwell,"Chelsea
TRACK
6",Illness,No Return Date,Ruled Out,29/12/2022
Ruben Loftus-Cheek,"Chelsea
TRACK
6",Ankle/Foot Injury,No Return Date,25%,29/12/2022
Thiago Silva,"Chelsea
TRACK
6",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Wilfried Zaha,"Crystal Palace
TRACK
7",Suspended,01/01/2022,Ruled Out,29/12/2022
Joachim Andersen,"Crystal Palace
TRACK
7",Other,No Return Date,Ruled Out,29/12/2022
James McArthur,"Crystal Palace
TRACK
7",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Eberechi Eze,"Crystal Palace
TRACK
7",Illness,No Return Date,Ruled Out,29/12/2022
Michael Olise,"Crystal Palace
TRACK
7",Illness,No Return Date,Ruled Out,29/12/2022
Nathaniel Clyne,"Crystal Palace
TRACK
7",Other,No Return Date,Ruled Out,29/12/2022
Conor Gallagher,"Crystal Palace
TRACK
7",Other,No Return Date,Ruled Out,29/12/2022
Richarlison de Andrade,"Everton
TRACK
9",Calf/Shin/Heel Injury,02/01/2022,Ruled Out,29/12/2022
Dominic Calvert-Lewin,"Everton
TRACK
9",Thigh Injury,30/12/2021,100%,29/12/2022
Lucas Digne,"Everton
TRACK
9",Illness,30/12/2021,100%,29/12/2022
Demarai Gray,"Everton
TRACK
9",Illness,30/12/2021,50%,29/12/2022
Fabian Delph,"Everton
TRACK
9",Illness,30/12/2021,50%,29/12/2022
Tom Davies,"Everton
TRACK
9",Knee Injury,30/12/2021,25%,29/12/2022
Yerry Mina,"Everton
TRACK
9",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Andros Townsend,"Everton
TRACK
9",Ankle/Foot Injury,No Return Date,Ruled Out,29/12/2022
Jose Salomon Rondon,"Everton
TRACK
9",Thigh Injury,No Return Date,25%,29/12/2022
Liam Cooper,"Leeds United
TRACK
9",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Kalvin Phillips,"Leeds United
TRACK
9",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Patrick Bamford,"Leeds United
TRACK
9",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Rodrigo Moreno Machado,"Leeds United
TRACK
9",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Pascal Struijk,"Leeds United
TRACK
9",Ankle/Foot Injury,No Return Date,Ruled Out,29/12/2022
Jamie Shackleton,"Leeds United
TRACK
9",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Daniel James,"Leeds United
TRACK
9",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,29/12/2022
Charlie Cresswell,"Leeds United
TRACK
9",Shoulder Injury,No Return Date,Ruled Out,29/12/2022
Diego Llorente,"Leeds United
TRACK
9",Illness,No Return Date,Ruled Out,29/12/2022
Ricardo Barbosa Pereira,"Leicester City
TRACK
10",Calf/Shin/Heel Injury,13/02/2022,Ruled Out,29/12/2022
Jonny Evans,"Leicester City
TRACK
10",Thigh Injury,15/01/2022,Ruled Out,29/12/2022
Caglar Soyuncu,"Leicester City
TRACK
10",Thigh Injury,15/01/2022,Ruled Out,29/12/2022
Patson Daka,"Leicester City
TRACK
10",Thigh Injury,15/01/2022,Ruled Out,29/12/2022
James Maddison,"Leicester City
TRACK
10",Other,01/01/2022,50%,29/12/2022
Jamie Vardy,"Leicester City
TRACK
10",Thigh Injury,01/01/2022,50%,29/12/2022
Wesley Fofana,"Leicester City
TRACK
10",Ankle/Foot Injury,01/01/2022,Ruled Out,29/12/2022
James Justin,"Leicester City
TRACK
10",Knee Injury,No Return Date,Ruled Out,29/12/2022
Harvey Barnes,"Leicester City
TRACK
10",Other,No Return Date,Ruled Out,29/12/2022
Ryan Bertrand,"Leicester City
TRACK
10",Knee Injury,No Return Date,Ruled Out,29/12/2022
Nathaniel Phillips,"Liverpool
TRACK
6",Head/Face Injury,15/01/2022,Ruled Out,29/12/2022
Andrew Robertson,"Liverpool
TRACK
6",Suspended,02/01/2022,Ruled Out,29/12/2022
Thiago Alcantara,"Liverpool
TRACK
6",Other,No Return Date,50%,29/12/2022
