Name,Team,Reason,Potantial Return,Status,Date
Sead Kolasinac,Arsenal,Ankle/Foot Injury,22/01/2022,Ruled Out,04/01/2022
Gabriel dos Santos Magalhaes,Arsenal,Suspended,09/01/2022,Ruled Out,04/01/2022
Calum Chambers,Arsenal,Illness,01/01/2022,25%,04/01/2022
Pierre-Emerick Aubameyang,Arsenal,Other,No Return Date,Ruled Out,04/01/2022
Thomas Partey,Arsenal,Other,No Return Date,Ruled Out,04/01/2022
Mohamed Elneny,Arsenal,Other,No Return Date,Ruled Out,04/01/2022
Nicolas Pepe,Arsenal,Other,No Return Date,Ruled Out,04/01/2022
Marvelous Nakamba,Aston Villa,Knee Injury,02/04/2022,Ruled Out,04/01/2022
John McGinn,Aston Villa,Suspended,22/01/2022,Ruled Out,04/01/2022
Ashley Young,Aston Villa,Ankle/Foot Injury,10/01/2022,50%,04/01/2022
Tyrone Mings,Aston Villa,Suspended,10/01/2022,100%,04/01/2022
Leon Bailey,Aston Villa,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Ollie Watkins,Aston Villa,Other,No Return Date,Ruled Out,04/01/2022
Mahmoud Ibrahim Hassan,Aston Villa,Other,No Return Date,Ruled Out,04/01/2022
Bertrand Isidore Traore,Aston Villa,Other,No Return Date,Ruled Out,04/01/2022
Rico Henry,Brentford,Thigh Injury,16/01/2022,Ruled Out,04/01/2022
Bryan Mbeumo,Brentford,Calf/Shin/Heel Injury,08/01/2022,50%,04/01/2022
Sergi Canos Tenes,Brentford,Thigh Injury,No Return Date,25%,04/01/2022
Mathias Jensen,Brentford,Groin/Hip/Pelvic Injury,No Return Date,50%,04/01/2022
Frank Onyeka,Brentford,Other,No Return Date,Ruled Out,04/01/2022
David Raya Martin,Brentford,Knee Injury,No Return Date,Ruled Out,04/01/2022
Mathias Jorgensen,Brentford,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Charlie Goode,Brentford,Thigh Injury,No Return Date,25%,04/01/2022
Julian Jeanvier,Brentford,Knee Injury,No Return Date,Ruled Out,04/01/2022
Joshua Dasilva,Brentford,Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,04/01/2022
Lewis Dunk,Brighton and Hove Albion,Knee Injury,23/01/2022,Ruled Out,04/01/2022
Jurgen Locadia,Brighton and Hove Albion,Illness,08/01/2022,75%,04/01/2022
Jeremy Sarmiento,Brighton and Hove Albion,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Yves Bissouma,Brighton and Hove Albion,Other,No Return Date,Ruled Out,04/01/2022
Nick Pope,Burnley,Illness,08/01/2022,50%,04/01/2022
Josh Brownhill,Burnley,Illness,08/01/2022,50%,04/01/2022
